timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747866116304,9,Login,200,OK,Thread Group 1-8,text,true,,5262,1605,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1747866116304,6,Login-0,302,Found,Thread Group 1-8,,true,,193,930,6,6,http://localhost:8080/jpetstore/actions/Account.action,6,0,0
1747866116310,3,Login-1,200,OK,Thread Group 1-8,text,true,,5069,675,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1747866116707,5,Sign In,200,OK,Thread Group 1-10,text,true,,3921,595,6,6,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=EWCqxcGaMN67PFo4-CEr_0JhVNY3RGuXKRSTVA7D.ppss?signonForm=,5,0,0
1747866117098,4,Main-Catalog,200,OK,Thread Group 1-11,text,true,,5717,460,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1747866117347,7,Sign Out,200,OK,Thread Group 1-7,text,true,,5249,1061,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1747866117347,5,Sign Out-0,302,Found,Thread Group 1-7,,true,,330,535,6,6,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1747866117352,2,Sign Out-1,200,OK,Thread Group 1-7,text,true,,4919,526,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1747866117523,4,Home,200,OK,Thread Group 1-12,text,true,,1497,251,5,5,http://localhost:8080/jpetstore/,2,0,0
1747866117523,2,Home-0,302,Found,Thread Group 1-12,,true,,146,125,5,5,http://localhost:8080/jpetstore,2,0,0
1747866117525,2,Home-1,200,OK,Thread Group 1-12,text,true,,1351,126,5,5,http://localhost:8080/jpetstore/,2,0,0
1747866117849,4,Reptiles,200,OK,Thread Group 1-8,text,true,,3712,282,5,5,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES&viewCategory=&categoryId=REPTILES,4,0,0
1747866118321,7,Login,200,OK,Thread Group 1-9,text,true,,5262,1605,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1747866118321,5,Login-0,302,Found,Thread Group 1-9,,true,,193,930,6,6,http://localhost:8080/jpetstore/actions/Account.action,5,0,0
